volume;date_range;lookback;dropout;learning_rate;rsme;mape
1y;2022-2023;05d;0,1;0,004115269;827,9010248;6,543873341
1y;2022-2023;05d;0,1;0,00865693;625,0100954;4,897579822
1y;2022-2023;05d;0,1;0,008514532;1316,238231;8,386708407
1y;2022-2023;05d;0,1;0,005014756;750,5823864;6,051025262
1y;2022-2023;05d;0,1;0,009147943;965,5345982;6,591140588
1y;2022-2023;05d;0,1;0,005454681;934,4737723;6,934146501
1y;2022-2023;10d;0,1;0,00605102;581,389864;4,739713872
1y;2022-2023;10d;0,1;0,001752211;879,602501;7,451243214
1y;2022-2023;10d;0,1;0,007626944;1068,464793;7,102186963
1y;2022-2023;10d;0,1;0,002203252;877,5497413;7,083831129
1y;2022-2023;10d;0,1;0,006661774;721,3494572;5,333962186
1y;2022-2023;10d;0,1;0,002898888;771,357219;6,248653251
1y;2022-2023;20d;0,1;0,007793254;990,0055804;6,746499774
1y;2022-2023;20d;0,1;0,007961813;769,7283381;5,55178114
1y;2022-2023;20d;0,1;0,008932789;860,375761;5,981952694
1y;2022-2023;20d;0,1;0,001182587;918,8380428;7,243839987
1y;2022-2023;20d;0,1;0,005799982;351,0068486;3,89837497
1y;2022-2023;20d;0,1;0,007329676;413,6789519;3,884944838
1y;2022-2023;30d;0,1;0,008099622;848,2747311;5,918161281
1y;2022-2023;30d;0,1;0,005638098;673,8360897;5,219288994
1y;2022-2023;30d;0,1;0,002091886;1211,605266;8,577478542
1y;2022-2023;30d;0,1;0,009451557;626,0838068;4,921667464
1y;2022-2023;30d;0,1;0,008317297;816,0804332;6,036374785
1y;2022-2023;30d;0,1;0,007233393;880,6284497;6,366183139
1y;2022-2023;40d;0,1;0,00615239;847,6717228;6,202943292
1y;2022-2023;40d;0,1;0,008735627;1321,517502;8,351687725
1y;2022-2023;40d;0,1;0,006836282;616,2258269;4,922257202
1y;2022-2023;40d;0,1;0,007991109;694,3669592;5,022790353
1y;2022-2023;40d;0,1;0,009262126;947,5033482;6,387781034
1y;2022-2023;40d;0,1;0,001654139;1020,961318;7,640923518
1y;2022-2023;50d;0,1;0,001013824;751,2690239;6,745230346
1y;2022-2023;50d;0,1;0,005388664;917,1719511;6,681117429
1y;2022-2023;50d;0,1;0,002240548;1058,656554;7,812101698
1y;2022-2023;50d;0,1;0,005446366;1131,984426;7,386990691
1y;2022-2023;50d;0,1;0,006165324;741,1034649;5,944279828
1y;2022-2023;50d;0,1;0,008205908;376,1704799;3,928876777
1y;2022-2023;60d;0,1;0,008815057;826,0829698;6,085268075
1y;2022-2023;60d;0,1;0,007669298;573,0942319;4,892899222
1y;2022-2023;60d;0,1;0,009789162;416,8204393;3,973712236
1y;2022-2023;60d;0,1;0,002829151;904,4410258;6,951291037
1y;2022-2023;60d;0,1;0,009960308;472,5534953;4,221864853
1y;2022-2023;60d;0,1;0,008776409;655,7314326;5,336199307
3y;2020-2023;05d;0,1;0,07234684;585,9683734;4,700073905
3y;2020-2023;05d;0,1;0,040139108;14,3491189;2,935946089
3y;2020-2023;05d;0,1;0,052780941;2356,717502;12,33187285
3y;2020-2023;05d;0,1;0,036105117;1333,364744;7,160207335
3y;2020-2023;05d;0,1;0,059650183;173,941323;2,83264867
3y;2020-2023;05d;0,1;0,032187796;1812,426316;9,862628063
3y;2020-2023;10d;0,1;0,008668894;712,2912258;4,185943544
3y;2020-2023;10d;0,1;0,007762283;281,6450787;2,969888602
3y;2020-2023;10d;0,1;0,002644374;53,55161768;2,741961411
3y;2020-2023;10d;0,1;0,057338895;1904,426815;11,51797749
3y;2020-2023;10d;0,1;0,057458393;343,3604041;3,501288404
3y;2020-2023;20d;0,1;0,00485395;546,3352193;3,676111717
3y;2020-2023;20d;0,1;0,0081035;176,8112432;3,217166724
3y;2020-2023;20d;0,1;0,00507001;149,6311703;2,529205473
3y;2020-2023;20d;0,1;0,005178247;29,61773928;2,529375805
3y;2020-2023;20d;0,1;0,008661065;289,4786382;2,69204655
3y;2020-2023;20d;0,1;0,004109133;92,72245481;2,465300087
3y;2020-2023;30d;0,1;0,004122835;276,4888505;2,830451433
3y;2020-2023;30d;0,1;0,001184554;49,92952109;3,367599922
3y;2020-2023;30d;0,1;0,005609141;199,3866925;2,643760096
3y;2020-2023;30d;0,1;0,004647013;177,2470265;2,615488789
3y;2020-2023;30d;0,1;0,005572013;123,9847253;2,481071158
3y;2020-2023;30d;0,1;0,004950532;650,6498914;4,030489048
3y;2020-2023;40d;0,1;0,001220675;404,3295614;3,781180822
3y;2020-2023;40d;0,1;0,009381288;208,2877706;2,640570679
3y;2020-2023;40d;0,1;0,008743947;9,448631937;2,314537234
3y;2020-2023;40d;0,1;0,003157552;562,686992;3,871182829
3y;2020-2023;40d;0,1;0,003172527;85,52793056;2,683379943
3y;2020-2023;40d;0,1;0,006666904;313,4728752;2,841474537
3y;2020-2023;50d;0,1;0,001110697;298,1960394;3,79331576
3y;2020-2023;50d;0,1;0,002233083;199,7523823;3,151532184
3y;2020-2023;50d;0,1;0,008294725;1116,342213;6,159595981
3y;2020-2023;50d;0,1;0,003563141;300,2616049;2,998798154
3y;2020-2023;50d;0,1;0,0093938;449,6060818;3,270587608
3y;2020-2023;50d;0,1;0,009497709;980,1896371;5,367106216
3y;2020-2023;60d;0,1;0,0076022;646,0035209;4,129794491
3y;2020-2023;60d;0,1;0,00114537;116,9592909;3,778604008
3y;2020-2023;60d;0,1;0,006753866;586,4405742;3,790754707
3y;2020-2023;60d;0,1;0,008464404;32,04181702;2,379619466
3y;2020-2023;60d;0,1;0,002503475;526,1731975;3,982566485
3y;2020-2023;60d;0,1;0,005207831;700,8478489;4,476345072
5y;2018-2023;05d;0,1;0,002852764;31,56398205;2,791894488
5y;2018-2023;05d;0,1;0,003526327;1868,58752;7,144443431
5y;2018-2023;05d;0,1;0,008873341;3306,012444;12,27624064
5y;2018-2023;05d;0,1;0,001493326;454,7564204;3,373435818
5y;2018-2023;05d;0,1;0,007406331;879,4693084;3,665601322
5y;2018-2023;05d;0,1;0,001268531;458,9825516;4,041589207
5y;2018-2023;10d;0,1;0,004910609;636,1073954;3,182723224
5y;2018-2023;10d;0,1;0,002201778;1864,48068;7,138182911
5y;2018-2023;10d;0,1;0,003426768;482,7968538;2,985895911
5y;2018-2023;10d;0,1;0,009536023;485,9641133;2,810575034
5y;2018-2023;10d;0,1;0,008559621;7,527592522;2,393424491
5y;2018-2023;10d;0,1;0,00511492;1022,8825;4,240055224
5y;2018-2023;20d;0,1;0,001769399;469,9580475;3,231518127
5y;2018-2023;20d;0,1;0,002580722;1104,272067;4,609695897
5y;2018-2023;20d;0,1;0,005886121;196,2312362;2,954666818
5y;2018-2023;20d;0,1;0,001166448;100,5449113;3,628502669
5y;2018-2023;20d;0,1;0,005971023;754,5458693;3,554945659
5y;2018-2023;20d;0,1;0,004286503;456,5165407;2,796325991
5y;2018-2023;30d;0,1;0,004815436;329,1950505;2,721818706
5y;2018-2023;30d;0,1;0,007406254;206,0633601;2,54512821
5y;2018-2023;30d;0,1;0,007011238;766,6495702;3,494159009
5y;2018-2023;30d;0,1;0,008644882;79,94817338;2,477709485
5y;2018-2023;30d;0,1;0,008229991;202,5335975;3,074008336
5y;2018-2023;30d;0,1;0,008637518;571,5124307;3,093423059
5y;2018-2023;40d;0,1;0,006819974;1294,345386;5,581878934
5y;2018-2023;40d;0,1;0,008584982;54,05728637;2,446545331
5y;2018-2023;40d;0,1;0,008936426;818,4006553;3,871358361
5y;2018-2023;40d;0,1;0,007859944;480,3733883;2,92483256
5y;2018-2023;40d;0,1;0,005936747;684,823536;3,62084778
5y;2018-2023;40d;0,1;0,004427334;93,29590373;2,633108749
5y;2018-2023;40d;0,1;0,00607711;165,8613467;2,538048867
5y;2018-2023;50d;0,1;0,001194338;184,3267515;3,540064031
5y;2018-2023;50d;0,1;0,007617379;277,750958;2,769349434
5y;2018-2023;50d;0,1;0,005337743;432,9661988;2,939937128
5y;2018-2023;50d;0,1;0,007278277;406,0136533;2,875867211
5y;2018-2023;50d;0,1;0,002733095;1159,016625;4,696990078
5y;2018-2023;50d;0,1;0,009194523;644,4779307;3,060341328
5y;2018-2023;60d;0,1;0,005536769;265,5432519;2,934054501
5y;2018-2023;60d;0,1;0,006956544;438,9366478;3,344164704
5y;2018-2023;60d;0,1;0,002167678;227,3370305;2,936773949
5y;2018-2023;60d;0,1;0,008026807;198,6703294;2,556165718
5y;2018-2023;60d;0,1;0,00212241;39,93702363;2,751509224
5y;2018-2023;60d;0,1;0,006777175;1282,277397;5,517846928
